publish_date,headline_text,is_kashmir,is_pakistan
20010831,Govt to ease tariffs on Pak imports,False,True
20010831,'Hurriyat enjoys mandate of Kashmiri people',True,False
20010831,24 Pakistani nationals repatriated,False,True
20010831,Soz meets Vajpayee on J&K,True,False
20010831,India for talks on nuclear CBMs with Pak,False,True
20010831,Ronen Sen will be new envoy to Pakistan,False,True
20010831,'Pak plans jehadi belt around India',False,True
20010901,INSIDE PoKbrAll signals to more JK violence,True,True
20010901,CID may take chase to Dubai; Pak,False,True
20010901,Reception for Hurriyat team today,True,False
20010901,NEWSPAPER IN EDUCATIONbrIndo Pak Friendship A mission possible,False,True
20010901,JCO; 2 ultras killed in J&K encounter,True,False
20010901,Hurriyat leaders to visit Kerala amid protests,True,False
20010901,Three months imprisonment for Pak national,False,True
20010901,4 kidnapped persons; 5 ultras killed in J&K,True,False
20010901,Dress code fear makes Kashmiri women lose their confidence,True,False
20010901,One killed; two injured in Kashmir firing,True,False
20010901,8 Pak soldiers killed in firing along LoC,True,True
20010901,5 successive landmine blasts in Kashmir,True,False
20010901,US slaps sanctions on Pak; China entities,False,True
20010901,Sindhis accuses Pak of ravages of racism,False,True
20010901,Pak court acquits two MQM members,False,True
20010902,8 killed in J&K incidents,True,False
20010902,Autonomy will build confidence: J&K Speaker,True,False
20010902,Hurriyat leaders fail to turn up in Kerala,True,False
20010902,'Talks can't make headway until Pak ends terrorism',False,True
20010902,Confusion over crackdown on ultras in Pakistan,False,True
20010902,China asks Pakistan to ensure safety of UN arms monitors,False,True
20010902,Sanctions unwarranted; unjustified: Pak,False,True
20010903,Hurriyat has 'open mind' for talks,True,False
20010903,Hurriyat leader condemns fatwa on burqa,True,False
20010903,Pak cannot take away Kashmir from India: Yashwant,True,True
20010903,'Pak proliferating nuclear weapon tech',False,True
20010903,N-E type package for J&K,True,False
20010903,Hurriyat hopeful of Vajpayee-Musharraf meet,True,False
20010903,4 ultras among 9 killed in J&K,True,False
20010903,'No negative impact of sanctions on Pakistan',False,True
20010903,India says Pakistan misusing Islam,False,True
20010903,Pak rakes up Kashmir at racism meet,True,True
20010904,Hurriyat 'thanks' Sangh Parivar for hartal,True,False
20010904,Militants attack police stations in Kashmir,True,False
20010904,Kashmir police official dismissed from service,True,False
20010904,Concern over high-level of Pak firing along LoC,True,True
20010904,5 militants surrender in Kashmir,True,False
20010904,Two children killed; six injured in Kashmir blast,True,False
20010904,US lawmakers want curbs on Pak to go,False,True
20010904,Musharraf to raise Kashmir at UN,True,False
20010905,Gujarat turning into Kashmir: SIMI,True,False
20010905,4 ultras killed; bridge blown up in J&K,True,False
20010905,India rejects comparison of Kashmir with Palestine,True,False
20010905,No publicity stunts please; Nambiar tells Pak,False,True
20010905,Pak shelling leaves 15 injured in Batalik,False,True
20010905,'Hindus fleeing persecution in Pak',False,True
20010905,Accept Kashmiris as party to dispute: Lone,True,False
20010905,C'Wealth's suspension of Pak stays,False,True
20010905,'Pak seeks Russian aid in developing spy satellite',False,True
20010905,Pak air force fleet much more potent today: Chief,False,True
20010905,Pak offers Russia $130 m to launch spy satellite,False,True
20010906,India reaffirms talks with Pak will continue,False,True
20010906,Heed the wishes of Kashmiris: US,True,False
20010906,6 ultras killed; RDX seized in Kashmir,True,False
20010906,4 policemen dismissed in J&K,True,False
